127.0.0.1 - - [07/Mar/2020:16:30:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:30:28 +0530] "GET /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:30:38 +0530] "POST /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:30:38 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:30:43 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:30:43 +0530] "POST /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:30:43 +0530] "GET /FirstProject/myApp/user/getInfo/1 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:07 +0530] "POST /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:07 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:07 +0530] "GET /FirstProject/myApp/user/getInfo/1 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:25 +0530] "GET /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:29 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:29 +0530] "POST /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:34:29 +0530] "GET /FirstProject/myApp/user/getInfo/1 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:35:12 +0530] "GET /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:35:15 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:35:15 +0530] "POST /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:35:15 +0530] "GET /FirstProject/myApp/user/getInfo/1 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:37:04 +0530] "GET /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:37:08 +0530] "POST /FirstProject/ HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:37:08 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:37:08 +0530] "GET /FirstProject/myApp/user/getInfo/1 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2020:16:37:31 +0530] "GET /FirstProject/ HTTP/1.1" 200 2570
