127.0.0.1 - - [20/May/2020:11:09:10 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/May/2020:11:09:11 +0530] "GET /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:11:09:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/May/2020:11:10:43 +0530] "POST /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:11:10:43 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/May/2020:11:10:55 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/May/2020:11:10:55 +0530] "POST /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:11:10:56 +0530] "GET /FirstProject/view/student.html HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [20/May/2020:12:41:29 +0530] "GET /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:12:41:44 +0530] "POST /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:12:41:44 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/May/2020:12:41:49 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/May/2020:12:41:49 +0530] "POST /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:12:43:45 +0530] "GET /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:12:43:51 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/May/2020:12:44:03 +0530] "POST /FirstProject/ HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/May/2020:12:44:03 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [20/May/2020:12:44:06 +0530] "POST /FirstProject/myApp/login/userlogin HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [20/May/2020:12:44:06 +0530] "POST /FirstProject/ HTTP/1.1" 200 2578
